[00:00] 先等一下，我这里好像有一点回声。
[00:12] 你把耳机音量调低一点，我们再试一次。
[00:24] 一二三，现在应该没有问题了。
[00:36] 好，那这几句后面都剪掉，我们正式开始。
[00:48] 欢迎来到《示例播客》，今天想聊聊小项目为什么总是开始得很热闹，后来却慢慢停了。
[01:00] 我以前会把原因归结为不够自律，所以每次都先做一张特别复杂的计划表。
[01:12] 计划表看起来很完整，可是真正要动手的时候，我反而不知道第一步应该做什么。
[01:24] 后来我发现，问题不是计划不够细，而是我没有说清楚这个项目到底想改变什么。
[01:36] 比如我说自己想做一份通讯，如果目标只是每周发一期，我很快就会把它做成新的打卡任务。
[01:48] 但如果目标是帮助刚换工作的人少走一个弯路，我就知道这一期应该回答哪个具体问题。
[02:00] 目标一旦具体，选题、采访对象和要删掉的内容都会跟着变得清楚。
[02:12] 所以现在开始之前，我会先写一句话：读完或听完以后，我希望对方能做出什么不同的动作。
[02:24] 对了，我昨天为了买咖啡绕了很远，那家店门口还在修路。
[02:36] 我本来以为十分钟就能回来，结果在路口等了半天。
[02:48] 后来店员还把我的名字写错了，我们笑了很久。
[03:00] 这个故事好像跟今天没什么关系，后面直接删掉吧。
[03:12] 我们接着说，只有目标还不够，还要把第一步缩小到今天就能完成。
[03:24] 我过去最常犯的错，是把第一步写成研究市场、建立品牌或者搭建完整系统。
[03:36] 这些词听起来像行动，其实每一个里面都藏着几十个还没做的决定。
[03:48] 现在我会把它改成找三位可能的读者，问他们最近最困扰的一件事。
[04:00] 这个动作不漂亮，也不能立刻展示成果，但它会给我真实信息。
[04:12] 当真实反馈回来以后，我才知道自己原来的想象哪里不成立。
[04:24] 有时候对方说的问题跟我准备写的完全不同，那一刻会有点失落。
[04:36] 可是这种失落很有用，它让我在投入两个月之前就有机会转弯。
[04:48] 我觉得这也是小项目的优势，船还很小，所以调整方向的成本并不高。
[05:00] 如果我们只是为了证明最初的想法正确，就会把反馈当成攻击。
[05:12] 如果我们是为了真的解决问题，反馈就会变成下一步的地图。
[05:24] 我刚才这段是不是说得有点绕，我再用另一种方式重复一遍。
[05:36] 所谓项目就是一个目标，然后有很多步骤，步骤又会产生新的目标。
[05:48] 每一个目标又会分解成更多步骤，所以我们要一直不断地分解。
[06:00] 这样讲还是很抽象，而且跟前面重复了，这一段也剪掉。
[06:12] 最后还有一个变化，是我不再用有没有按时发布来判断自己是不是失败了。
[06:24] 我会看这一轮有没有得到新信息，有没有更接近真正需要被解决的问题。
[06:36] 有一次我连续采访了五个人，最后发现原来的产品方向根本没人需要。
[06:48] 以前的我会觉得这五次采访白做了，现在我会觉得它们帮我省下了三个月。
[07:00] 所以复盘不是给自己打分，而是把已经付出的时间换成下一轮更好的判断。
[07:12] 如果这一轮什么都没发布，但我们排除了一个错误方向，它仍然产生了价值。
[07:24] 总结一下，先说清想改变什么，再把第一步缩小，最后用新信息而不是完成感来复盘。
[07:36] 希望这三个动作，能让你手上的小项目更轻一点，也更容易继续走下去。
[07:48] 好，今天先到这里。
[08:00] 录完了吗，我刚才最后一句要不要再来一次。
[08:12] 不用了，我觉得已经很清楚了，关掉吧。
