[00:00] 欢迎来到《示例播客》，今天想聊聊小项目为什么总是开始得很热闹，后来却慢慢停了。
[00:10] 我以前会把原因归结为不够自律，所以每次都先做一张特别复杂的计划表。
[00:20] 计划表看起来很完整，可是真正要动手的时候，我反而不知道第一步应该做什么。
[00:30] 后来我发现，问题不是计划不够细，而是我没有说清楚这个项目到底想改变什么。
[00:40] 比如我说自己想做一份通讯，如果目标只是每周发一期，我很快就会把它做成新的打卡任务。
[00:50] 但如果目标是帮助刚换工作的人少走一个弯路，我就知道这一期应该回答哪个具体问题。
[01:00] 目标一旦具体，选题、采访对象和要删掉的内容都会跟着变得清楚。
[01:10] 所以现在开始之前，我会先写一句话：读完或听完以后，我希望对方能做出什么不同的动作。
[02:20] 有时候对方说的问题跟我准备写的完全不同，那一刻会有点失落。
[02:30] 可是这种失落很有用，它让我在投入两个月之前就有机会转弯。
[02:40] 我觉得这也是小项目的优势，船还很小，所以调整方向的成本并不高。
[02:50] 如果我们只是为了证明最初的想法正确，就会把反馈当成攻击。
[04:10] 总结一下，先说清想改变什么，再把第一步缩小，最后用新信息而不是完成感来复盘。
[04:20] 希望这三个动作，能让你手上的小项目更轻一点，也更容易继续走下去。
[04:30] 好，今天先到这里。
